Name,Path,Description
PSAPs,"DC=elysium,DC=local",,
PSAP-CDR,"OU=PSAPs,DC=elysium,DC=local",,
Computers-PSAP-CDR,"OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local",,
Mobile-PSAP-CDR,"OU=Computers-PSAP-CDR,OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local",,
Supervisor-PSAP-CDR,"OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local",,
Users-PSAP-CDR,"OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local",,
Supervisor-Users-PSAP-CDR,"OU=Users-PSAP-CDR,OU=PSAP-CDR,OU=PSAPs,DC=elysium,DC=local",,
PSAP-CPR,"OU=PSAPs,DC=elysium,DC=local",,
Computers-PSAP-CPR,"OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local",,    
Mobile-PSAP-CPR,"OU=Computers-PSAP-CPR,OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local",,
Supervisor-Computers-PSAP-CPR,"OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local",,
Users-PSAP-CPR,"OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local",,
Supervisor-Users-PSAP-CPR,"OU=Users-PSAP-CPR,OU=PSAP-CPR,OU=PSAPs,DC=elysium,DC=local",,
Datacenters,"DC=elysium,DC=local",,
Core-A-3PL,"OU=Datacenters,DC=elysium,DC=local",,
Administration,"OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local",,
Application,"OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local",,
CentOS,"OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local",,
ESXi,"OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local",,
MIS,"OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local",,
WSUS,"OU=Core-A-3PL,OU=Datacenters,DC=elysium,DC=local",,
Core-B-QG,"OU=Datacenters,DC=elysium,DC=local",,
Administration,"OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local",,
Application,"OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local",,
CentOS,"OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local",,
ESXi,"OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local",,
MIS,"OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local",,
WSUS,"OU=Core-B-QG,OU=Datacenters,DC=elysium,DC=local",,
Managed Services Accounts,"DC=elysium,DC=local",,
Users Comtech,"DC=elysium,DC=local",,
Users VDL,"DC=elysium,DC=local",,
VDL Administrators,"OU=Users VDL,DC=elysium,DC=local",,
VDL Technicians,"OU=Users VDL,DC=elysium,DC=local",,
